feature,shap_importance
feature_212,0.11784282
feature_168,0.09290532
feature_304,0.08893836
feature_52,0.08831593
feature_161,0.08209604
feature_203,0.08172028
feature_171,0.07999143
feature_245,0.0754347
feature_296,0.07300849
feature_260,0.072679624
feature_284,0.07261678
feature_136,0.072256975
feature_93,0.071677074
feature_302,0.06960936
feature_5,0.06801934
feature_290,0.067022316
feature_72,0.06487937
feature_261,0.06370228
feature_83,0.06342143
feature_179,0.06288716
feature_222,0.062238414
feature_181,0.0609686
feature_219,0.059909336
feature_84,0.05978966
feature_20,0.058984816
feature_121,0.058906373
feature_299,0.058243845
feature_236,0.05664444
feature_105,0.056507558
feature_312,0.056094266
feature_32,0.054795258
feature_54,0.054732077
feature_330,0.053488836
feature_231,0.05249353
feature_243,0.05226262
feature_187,0.051785465
feature_279,0.050085247
feature_176,0.049947314
feature_307,0.04896141
feature_311,0.048249338
feature_57,0.047716253
feature_87,0.04704954
feature_206,0.046160504
feature_78,0.045849483
feature_250,0.045559302
feature_233,0.04545026
feature_145,0.04520107
feature_112,0.044755887
feature_131,0.0445608
feature_129,0.044220667
feature_328,0.04398782
feature_241,0.043775506
feature_214,0.04299229
feature_191,0.04280201
feature_63,0.042693637
feature_225,0.042059086
feature_280,0.04159474
feature_10,0.041197482
feature_253,0.040682845
feature_173,0.040446762
feature_120,0.04009657
feature_125,0.040053807
feature_310,0.039711256
feature_7,0.03947118
feature_264,0.039344113
feature_262,0.038871158
feature_114,0.03738105
feature_42,0.037272368
feature_193,0.03629321
feature_334,0.035691988
feature_88,0.035394598
feature_48,0.035334952
feature_45,0.03507525
feature_138,0.034845933
feature_321,0.03478749
feature_25,0.034659456
feature_258,0.0339806
feature_19,0.033623148
feature_322,0.03330947
feature_90,0.03328065
feature_227,0.03288497
feature_170,0.03266125
feature_82,0.03259626
feature_122,0.032432754
feature_108,0.03216693
feature_204,0.0321116
feature_79,0.031935453
feature_300,0.03172079
feature_247,0.031673256
feature_141,0.031426195
feature_71,0.031316116
feature_234,0.031201687
feature_28,0.031180248
feature_51,0.031133618
feature_196,0.030689353
feature_224,0.030417353
feature_44,0.030061658
feature_1,0.029866835
feature_188,0.029647315
feature_137,0.029603835
feature_134,0.02927537
feature_47,0.029259795
feature_186,0.029237771
feature_155,0.029208284
feature_259,0.02911614
feature_285,0.02896888
feature_319,0.028945878
feature_13,0.028478628
feature_99,0.0281926
feature_15,0.027964745
feature_286,0.027490297
feature_235,0.027436841
feature_230,0.027385067
feature_116,0.02734532
feature_287,0.027288998
feature_288,0.027261814
feature_127,0.027042098
feature_34,0.026941013
feature_46,0.026411101
feature_100,0.026257772
feature_69,0.026107872
feature_327,0.026037069
feature_215,0.025430657
feature_177,0.025430096
feature_16,0.025354903
feature_317,0.025232634
feature_55,0.025122477
feature_17,0.025114415
feature_58,0.024826117
feature_278,0.024787728
feature_104,0.024678767
feature_238,0.024641043
feature_9,0.024628416
feature_329,0.024496585
feature_194,0.024421578
feature_326,0.024236456
feature_240,0.02416999
feature_254,0.024090968
feature_95,0.02355242
feature_103,0.02330507
feature_61,0.023173552
feature_164,0.023147447
feature_101,0.02314648
feature_66,0.023075635
feature_33,0.0227055
feature_152,0.022491446
feature_158,0.022257552
feature_180,0.022104045
feature_2,0.021899374
feature_133,0.021647915
feature_207,0.021551523
feature_270,0.021441542
feature_325,0.021301277
feature_323,0.021253271
feature_14,0.021196717
feature_35,0.021127408
feature_106,0.021013277
feature_109,0.020478124
feature_216,0.020191062
feature_67,0.02010194
feature_267,0.019769704
feature_249,0.0197057
feature_189,0.019614905
feature_324,0.019614108
feature_242,0.019485828
feature_315,0.01942593
feature_276,0.019357668
feature_18,0.019352058
feature_263,0.019205874
feature_301,0.019043716
feature_142,0.018917145
feature_92,0.018780585
feature_126,0.018704511
feature_111,0.018561702
feature_144,0.01846109
feature_149,0.018394073
feature_153,0.018380148
feature_62,0.018379396
feature_221,0.018245127
feature_218,0.018218314
feature_3,0.018109607
feature_223,0.018060291
feature_208,0.018060267
feature_73,0.017974155
feature_182,0.017964093
feature_305,0.01764148
feature_272,0.017461997
feature_53,0.017330838
feature_162,0.017225835
feature_74,0.017137747
feature_36,0.016994106
feature_96,0.01663201
feature_146,0.016597522
feature_271,0.01658178
feature_205,0.016533324
feature_154,0.016397027
feature_115,0.016210686
feature_198,0.01616594
feature_60,0.016129976
feature_172,0.016062742
feature_195,0.01606234
feature_184,0.016011832
feature_22,0.01596507
feature_75,0.015938515
feature_117,0.01591404
feature_43,0.015905919
feature_143,0.015761718
feature_332,0.015439746
feature_316,0.01541717
feature_252,0.015376502
feature_27,0.015271234
feature_256,0.015245535
feature_282,0.015071384
feature_6,0.014790272
feature_140,0.01476732
feature_217,0.014719953
feature_102,0.014690261
feature_70,0.014328706
feature_297,0.01431585
feature_309,0.014043311
feature_266,0.014011183
feature_86,0.013795412
feature_175,0.013750853
feature_89,0.013625511
feature_190,0.01352892
feature_128,0.013418823
feature_113,0.013294389
feature_23,0.013286768
feature_248,0.012917373
feature_174,0.012861508
feature_228,0.012830121
feature_210,0.012768804
feature_167,0.012665446
feature_169,0.012627326
feature_56,0.012625531
feature_8,0.012615983
feature_199,0.012558574
feature_12,0.012434479
feature_124,0.012396418
feature_229,0.012295514
feature_333,0.012207875
feature_85,0.012199001
feature_298,0.012188628
feature_81,0.012163727
feature_38,0.012080737
feature_135,0.012058624
feature_130,0.011918717
feature_201,0.011446954
feature_226,0.011412551
feature_255,0.011408255
feature_148,0.011276703
feature_40,0.011161562
