feature,mean_importance
feature_99,-0.09672402606046075
feature_8,-0.06190090599017868
feature_57,-0.05979160455282608
feature_158,-0.059774463774792966
feature_15,-0.05908722505751918
feature_239,-0.05759834893429856
feature_141,-0.05656778506187461
feature_68,-0.05594140092830866
feature_125,-0.055810871526697704
feature_244,-0.05512888089925472
feature_90,-0.054245606843919617
feature_258,-0.05407085169592181
feature_32,-0.05399024747893764
feature_118,-0.053738532908731075
feature_242,-0.052932672261490496
feature_13,-0.0491167475354386
feature_272,-0.04879066990571275
feature_250,-0.04844408767532773
feature_304,-0.04576048842245965
feature_255,-0.04318999026479773
feature_110,-0.040619751393458525
feature_264,-0.040598632513959385
feature_17,-0.04011115522556796
feature_77,-0.0399754896240939
feature_213,-0.03978677960800736
feature_249,-0.039526386030244345
feature_314,-0.03908686540996866
feature_132,-0.03782485887444054
feature_211,-0.037763284228471417
feature_168,-0.037396751255565255
feature_76,-0.03653280836182686
feature_74,-0.03604307831895426
feature_259,-0.0354129118629829
feature_181,-0.03465114096846671
feature_40,-0.03412223467319357
feature_323,-0.03408300088699505
feature_85,-0.03388001305095525
feature_179,-0.033360901971421074
feature_246,-0.03327571497645332
feature_173,-0.03272518500228232
feature_119,-0.032669281570997466
feature_196,-0.03248853790318655
feature_248,-0.03244013561847847
feature_49,-0.03240735146532305
feature_212,-0.032284600336005644
feature_300,-0.03218160065049265
feature_226,-0.031694620787410165
feature_189,-0.031430295562134704
feature_332,-0.030885598925952263
feature_73,-0.03074910358933227
feature_251,-0.03047539440300868
feature_166,-0.03020643533715921
feature_92,-0.03007902532486657
feature_129,-0.029741088257910952
feature_247,-0.029546773658751135
feature_202,-0.029522711671434186
feature_21,-0.028939254456160322
feature_7,-0.02881667658668574
feature_104,-0.028749131251326256
feature_54,-0.02856363644394664
feature_234,-0.028416494799750412
feature_175,-0.02823258779232063
feature_146,-0.028038632254224184
feature_317,-0.027766806887284813
feature_123,-0.02719302821114793
feature_200,-0.026942641262287913
feature_205,-0.026863609365478956
feature_51,-0.02665267986313884
feature_159,-0.02647700479183035
feature_330,-0.02605926325705754
feature_204,-0.025996512448635566
feature_254,-0.025594229661539725
feature_124,-0.025390101387003216
feature_140,-0.02501326641043935
feature_230,-0.02437893366167332
feature_253,-0.024295626638578406
feature_75,-0.023732435938098373
feature_116,-0.02289966177651559
feature_217,-0.02277114641262843
feature_266,-0.022593182709987135
feature_48,-0.02258867380120124
feature_20,-0.022405714119859164
feature_236,-0.021620216359398103
feature_313,-0.021564976546059
feature_243,-0.021457152552903657
feature_87,-0.02145396529916548
feature_322,-0.021427828971681252
feature_274,-0.0212355720751618
feature_72,-0.021030511744071667
feature_70,-0.02086407687861458
feature_120,-0.020497015310635726
feature_149,-0.020027607231365162
feature_5,-0.01968027069242595
feature_316,-0.019548171644558465
feature_265,-0.01953857836727
feature_191,-0.019079327951308934
feature_278,-0.019067683709327633
feature_252,-0.019043612308790436
feature_224,-0.01900276505545868
feature_133,-0.01881260237914235
feature_229,-0.018672767384446853
feature_42,-0.01860533852685613
feature_81,-0.01838545387835868
feature_94,-0.01834867654116268
feature_67,-0.018044128888889864
feature_115,-0.01800635663328585
feature_256,-0.017512111679093677
feature_151,-0.017446769973419228
feature_165,-0.01732216259042092
feature_231,-0.016245356033816626
feature_160,-0.016166627650502186
feature_59,-0.016021654364574634
feature_180,-0.015758580810822577
feature_23,-0.014795033643934552
feature_294,-0.014782200722678685
feature_18,-0.014701222995317575
feature_156,-0.014605048786615792
feature_289,-0.014382149874967531
feature_257,-0.01389990208727374
feature_96,-0.013232028083172498
feature_105,-0.013026818309670585
feature_321,-0.012919468997232819
feature_199,-0.012619572068177033
feature_71,-0.011740736870878444
feature_144,-0.01156834550423289
feature_210,-0.011490978368271242
feature_261,-0.01125997255709974
feature_84,-0.011179662675700097
feature_267,-0.010885063747427547
feature_34,-0.01083563414877169
feature_276,-0.010400212273364406
feature_163,-0.010379531520136709
feature_271,-0.010108237659705921
feature_183,-0.009947061701411552
feature_169,-0.00960312181765408
feature_152,-0.009356467156271009
feature_306,-0.009190969869448206
feature_223,-0.009186410949980761
feature_293,-0.008865373990215631
feature_103,-0.008850835267211555
feature_36,-0.008481389336871014
feature_157,-0.008475776967000836
feature_38,-0.007687791725576076
feature_111,-0.007491472320247805
feature_275,-0.007313515545816785
feature_24,-0.007313188597554809
feature_319,-0.007216015276397236
feature_10,-0.007186153152283481
feature_137,-0.0071369904632653915
feature_291,-0.007072294442215643
feature_80,-0.006996093536820958
feature_309,-0.00699443103046562
feature_299,-0.006760499152839117
feature_195,-0.006723875602188301
feature_154,-0.0062532642634915096
feature_287,-0.0060791478003541675
feature_311,-0.006031646809688951
feature_66,-0.006004983136361464
feature_126,-0.00576767772999034
feature_122,-0.005638447442806971
feature_177,-0.005376712735259748
feature_303,-0.0051353131659116254
