feature,mean_importance
feature_310,-0.0013627003036658313
feature_448,-0.0005600960017908329
feature_340,-0.0005078123245964239
feature_409,-0.0003472267383135108
feature_280,-0.0003331284956286762
feature_595,-0.0002511902158664592
feature_395,-0.0002061914061015191
feature_130,-0.00020348719042591058
feature_526,-0.00019925840648162829
feature_167,-0.00019796587346398997
feature_113,-0.00017205510209301612
feature_60,-0.000155134495072895
feature_361,-0.00015102393026211747
feature_386,-0.00013667338132334895
feature_490,-0.00013248457438488347
feature_541,-0.00012856620561938482
feature_210,-0.00011781612095353999
feature_121,-0.00010648195189983944
feature_446,-0.00010089055739121999
feature_567,-9.624401794812165e-05
feature_537,-9.220352800618504e-05
feature_500,-5.7975121460751565e-05
feature_154,-4.9361967700267686e-05
feature_290,-4.5781477631678946e-05
feature_39,-1.9577116610092204e-05
feature_552,-1.3418351948168982e-05
feature_402,-1.2627598279268959e-05
feature_545,-1.0925113595905422e-05
feature_189,-9.010288655186827e-06
feature_356,0.0
feature_380,0.0
feature_358,0.0
feature_366,0.0
feature_379,0.0
feature_365,0.0
feature_359,0.0
feature_368,0.0
feature_378,0.0
feature_377,0.0
feature_367,0.0
feature_374,0.0
feature_373,0.0
feature_362,0.0
feature_370,0.0
feature_369,0.0
feature_363,0.0
feature_1,0.0
feature_388,0.0
feature_383,0.0
feature_425,0.0
feature_424,0.0
feature_423,0.0
feature_421,0.0
feature_419,0.0
feature_417,0.0
feature_416,0.0
feature_415,0.0
feature_414,0.0
feature_413,0.0
feature_412,0.0
feature_410,0.0
feature_407,0.0
feature_401,0.0
feature_400,0.0
feature_398,0.0
feature_396,0.0
feature_394,0.0
feature_393,0.0
feature_392,0.0
feature_390,0.0
feature_387,0.0
feature_385,0.0
feature_382,0.0
feature_351,0.0
feature_342,0.0
feature_348,0.0
feature_298,0.0
feature_297,0.0
feature_295,0.0
feature_294,0.0
feature_293,0.0
feature_291,0.0
feature_288,0.0
feature_286,0.0
feature_285,0.0
feature_284,0.0
feature_282,0.0
feature_281,0.0
feature_299,0.0
feature_278,0.0
feature_276,0.0
feature_275,0.0
feature_274,0.0
feature_273,0.0
feature_271,0.0
feature_268,0.0
feature_267,0.0
feature_264,0.0
feature_263,0.0
feature_261,0.0
feature_259,0.0
feature_258,0.0
feature_277,0.0
feature_350,0.0
feature_301,0.0
feature_305,0.0
feature_347,0.0
feature_345,0.0
feature_344,0.0
feature_343,0.0
feature_426,0.0
feature_341,0.0
feature_339,0.0
feature_338,0.0
feature_337,0.0
feature_336,0.0
feature_335,0.0
feature_334,0.0
feature_303,0.0
feature_333,0.0
feature_331,0.0
feature_323,0.0
feature_321,0.0
feature_320,0.0
feature_318,0.0
feature_317,0.0
feature_316,0.0
feature_315,0.0
feature_314,0.0
feature_313,0.0
feature_312,0.0
feature_307,0.0
feature_332,0.0
feature_427,0.0
feature_434,0.0
feature_429,0.0
feature_551,0.0
feature_550,0.0
feature_549,0.0
feature_548,0.0
feature_547,0.0
feature_546,0.0
feature_544,0.0
feature_543,0.0
feature_542,0.0
feature_538,0.0
feature_536,0.0
feature_535,0.0
feature_534,0.0
feature_533,0.0
feature_532,0.0
feature_531,0.0
feature_530,0.0
feature_529,0.0
feature_527,0.0
feature_525,0.0
feature_522,0.0
feature_521,0.0
feature_520,0.0
feature_519,0.0
feature_518,0.0
feature_554,0.0
feature_555,0.0
feature_556,0.0
feature_557,0.0
feature_599,0.0
feature_598,0.0
feature_597,0.0
feature_593,0.0
feature_592,0.0
feature_590,0.0
feature_588,0.0
feature_587,0.0
feature_586,0.0
feature_585,0.0
feature_584,0.0
feature_581,0.0
feature_517,0.0
feature_579,0.0
feature_577,0.0
feature_576,0.0
feature_575,0.0
feature_574,0.0
feature_573,0.0
feature_572,0.0
feature_568,0.0
feature_566,0.0
feature_565,0.0
feature_562,0.0
feature_561,0.0
feature_559,0.0
feature_578,0.0
feature_515,0.0
feature_514,0.0
feature_513,0.0
feature_468,0.0
feature_467,0.0
feature_464,0.0
feature_463,0.0
feature_462,0.0
feature_461,0.0
feature_460,0.0
feature_459,0.0
feature_458,0.0
feature_456,0.0
feature_455,0.0
feature_454,0.0
feature_471,0.0
feature_453,0.0
feature_447,0.0
feature_445,0.0
feature_443,0.0
feature_442,0.0
feature_440,0.0
feature_438,0.0
feature_437,0.0
feature_257,0.0
feature_433,0.0
feature_432,0.0
feature_431,0.0
feature_430,0.0
feature_449,0.0
feature_428,0.0
feature_473,0.0
feature_475,0.0
feature_511,0.0
feature_510,0.0
feature_509,0.0
feature_507,0.0
feature_505,0.0
feature_503,0.0
feature_502,0.0
feature_501,0.0
feature_499,0.0
feature_498,0.0
feature_497,0.0
feature_496,0.0
feature_474,0.0
feature_493,0.0
feature_488,0.0
feature_487,0.0
feature_486,0.0
feature_485,0.0
feature_484,0.0
feature_483,0.0
feature_482,0.0
feature_481,0.0
feature_480,0.0
feature_479,0.0
feature_478,0.0
feature_477,0.0
feature_491,0.0
feature_256,0.0
feature_300,0.0
feature_134,0.0
feature_128,0.0
feature_127,0.0
feature_126,0.0
feature_123,0.0
feature_122,0.0
feature_120,0.0
feature_119,0.0
feature_118,0.0
feature_117,0.0
feature_116,0.0
feature_114,0.0
feature_129,0.0
feature_112,0.0
feature_110,0.0
feature_109,0.0
feature_106,0.0
feature_105,0.0
feature_104,0.0
feature_102,0.0
feature_101,0.0
feature_100,0.0
feature_98,0.0
feature_94,0.0
feature_93,0.0
feature_111,0.0
feature_92,0.0
feature_132,0.0
feature_255,0.0
feature_173,0.0
feature_172,0.0
feature_171,0.0
feature_170,0.0
feature_169,0.0
feature_168,0.0
feature_165,0.0
feature_164,0.0
feature_163,0.0
feature_162,0.0
feature_160,0.0
feature_133,0.0
feature_158,0.0
feature_156,0.0
feature_155,0.0
feature_151,0.0
feature_150,0.0
feature_147,0.0
feature_146,0.0
feature_143,0.0
feature_142,0.0
feature_141,0.0
feature_139,0.0
feature_135,0.0
feature_157,0.0
feature_91,0.0
feature_89,0.0
feature_88,0.0
feature_41,0.0
feature_37,0.0
feature_36,0.0
feature_34,0.0
feature_31,0.0
feature_30,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_42,0.0
feature_24,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_14,0.0
feature_12,0.0
feature_11,0.0
feature_10,0.0
feature_8,0.0
feature_7,0.0
feature_6,0.0
feature_4,0.0
feature_23,0.0
feature_43,0.0
feature_45,0.0
feature_47,0.0
feature_86,0.0
feature_85,0.0
feature_83,0.0
feature_81,0.0
feature_79,0.0
feature_76,0.0
feature_75,0.0
feature_71,0.0
feature_70,0.0
feature_68,0.0
feature_66,0.0
feature_65,0.0
feature_64,0.0
feature_63,0.0
feature_61,0.0
feature_59,0.0
feature_58,0.0
feature_57,0.0
feature_56,0.0
feature_55,0.0
feature_53,0.0
feature_52,0.0
feature_51,0.0
feature_50,0.0
feature_49,0.0
feature_174,0.0
feature_175,0.0
feature_602,0.0
feature_177,0.0
feature_217,0.0
feature_216,0.0
feature_215,0.0
feature_214,0.0
feature_212,0.0
feature_209,0.0
feature_208,0.0
feature_207,0.0
feature_219,0.0
feature_206,0.0
feature_203,0.0
feature_202,0.0
feature_201,0.0
feature_199,0.0
feature_197,0.0
feature_196,0.0
feature_195,0.0
feature_194,0.0
feature_205,0.0
feature_220,0.0
feature_225,0.0
feature_227,0.0
feature_253,0.0
feature_251,0.0
feature_250,0.0
feature_249,0.0
feature_248,0.0
feature_247,0.0
feature_245,0.0
feature_244,0.0
feature_243,0.0
feature_242,0.0
feature_241,0.0
feature_240,0.0
feature_239,0.0
feature_238,0.0
feature_237,0.0
feature_235,0.0
feature_234,0.0
feature_230,0.0
feature_229,0.0
feature_193,0.0
feature_192,0.0
feature_218,0.0
feature_187,0.0
feature_184,0.0
feature_185,0.0
feature_190,0.0
feature_182,0.0
feature_179,0.0
feature_180,0.0
feature_188,0.0
feature_287,2.2204460492503132e-17
feature_54,2.2204460492503132e-17
feature_231,2.2204460492503132e-17
feature_292,2.2204460492503132e-17
feature_524,2.2204460492503132e-17
feature_161,2.2204460492503132e-17
feature_62,2.2204460492503132e-17
feature_296,2.2204460492503132e-17
feature_144,2.2204460492503132e-17
feature_539,2.2204460492503132e-17
feature_69,2.2204460492503132e-17
feature_222,2.2204460492503132e-17
feature_302,2.2204460492503132e-17
feature_73,2.2204460492503132e-17
feature_506,2.2204460492503132e-17
feature_74,2.2204460492503132e-17
feature_221,2.2204460492503132e-17
feature_304,2.2204460492503132e-17
feature_78,2.2204460492503132e-17
feature_306,2.2204460492503132e-17
feature_82,2.2204460492503132e-17
feature_495,2.2204460492503132e-17
feature_391,2.2204460492503132e-17
feature_224,2.2204460492503132e-17
feature_35,2.2204460492503132e-17
feature_384,2.2204460492503132e-17
feature_600,2.2204460492503132e-17
feature_2,2.2204460492503132e-17
feature_3,2.2204460492503132e-17
feature_371,2.2204460492503132e-17
feature_178,2.2204460492503132e-17
feature_13,2.2204460492503132e-17
feature_583,2.2204460492503132e-17
feature_580,2.2204460492503132e-17
feature_15,2.2204460492503132e-17
feature_20,2.2204460492503132e-17
feature_21,2.2204460492503132e-17
feature_46,2.2204460492503132e-17
feature_22,2.2204460492503132e-17
feature_570,2.2204460492503132e-17
feature_246,2.2204460492503132e-17
feature_269,2.2204460492503132e-17
feature_270,2.2204460492503132e-17
feature_272,2.2204460492503132e-17
feature_364,2.2204460492503132e-17
feature_560,2.2204460492503132e-17
feature_558,2.2204460492503132e-17
feature_381,2.2204460492503132e-17
feature_32,2.2204460492503132e-17
feature_159,2.2204460492503132e-17
feature_571,2.2204460492503132e-17
feature_87,2.2204460492503132e-17
feature_254,2.2204460492503132e-17
feature_319,2.2204460492503132e-17
feature_408,2.2204460492503132e-17
feature_115,2.2204460492503132e-17
feature_131,2.2204460492503132e-17
feature_435,2.2204460492503132e-17
feature_465,2.2204460492503132e-17
feature_436,2.2204460492503132e-17
feature_406,2.2204460492503132e-17
feature_399,2.2204460492503132e-17
feature_148,2.2204460492503132e-17
feature_405,2.2204460492503132e-17
feature_322,2.2204460492503132e-17
feature_204,2.2204460492503132e-17
feature_476,2.2204460492503132e-17
feature_108,2.2204460492503132e-17
feature_450,2.2204460492503132e-17
feature_457,2.2204460492503132e-17
feature_451,2.2204460492503132e-17
feature_452,2.2204460492503132e-17
feature_404,2.2204460492503132e-17
feature_470,2.2204460492503132e-17
feature_328,2.2204460492503132e-17
feature_136,2.2204460492503132e-17
feature_211,2.2204460492503132e-17
feature_472,2.2204460492503132e-17
feature_352,2.2204460492503132e-17
feature_422,2.2204460492503132e-17
feature_191,2.2204460492503132e-17
feature_99,2.2204460492503132e-17
feature_411,2.2204460492503132e-17
feature_349,2.2204460492503132e-17
feature_137,2.2204460492503132e-17
feature_346,2.2204460492503132e-17
feature_138,2.2204460492503132e-17
feature_213,2.2204460492503132e-17
feature_97,4.4408920985006264e-17
feature_494,4.4408920985006264e-17
feature_80,4.4408920985006264e-17
feature_262,4.4408920985006264e-17
feature_33,4.92251053894055e-06
feature_40,5.034698694439399e-06
feature_325,1.1719851124603053e-05
feature_107,1.9536645289419674e-05
feature_355,3.395448389071909e-05
feature_375,3.5493832040978115e-05
feature_326,4.307052827097202e-05
feature_186,4.672426547673858e-05
feature_327,4.8901063067186e-05
feature_418,5.173138575444991e-05
feature_389,6.222454418873813e-05
feature_594,6.404077736956725e-05
feature_5,6.794886993837235e-05
feature_528,7.101061270891052e-05
feature_504,7.18873889747007e-05
feature_329,8.074281748025048e-05
feature_223,9.182121048665338e-05
feature_283,9.973601097408302e-05
feature_376,0.00010182912747731531
feature_145,0.0001228577343147741
feature_200,0.00012382420983270137
feature_397,0.00012736971015196995
feature_232,0.00015087784766629753
feature_523,0.00015246706526872433
feature_67,0.00016724080464036728
feature_84,0.00017354704417669176
feature_279,0.00017524157371433534
feature_553,0.00018244655744441561
feature_38,0.00018613380962013705
feature_441,0.00019301373489095665
feature_308,0.00020829341512715872
feature_512,0.00021552318911526313
feature_90,0.00024828511838383973
feature_266,0.00024964097676452026
feature_48,0.00027840413838604584
feature_372,0.00028022137830108207
feature_198,0.0002902220021283597
feature_569,0.0003138233005342439
feature_353,0.0003400497465080754
feature_153,0.00034148721460058873
feature_125,0.00034579806375456545
feature_72,0.00034700730121550727
feature_152,0.00034755070525025464
feature_591,0.0003516146833026035
feature_236,0.00036035869148598465
feature_309,0.0003989713372538173
feature_466,0.0004188873031230722
feature_601,0.0004248988681785137
feature_176,0.0004431915333490188
feature_260,0.00047801498191510914
feature_265,0.0004908110510549957
feature_589,0.0004919520526103449
feature_354,0.0004961104801535443
feature_124,0.0005096419899808912
feature_233,0.0005353995418498015
feature_439,0.0005766949089075713
feature_492,0.0006688977518126027
feature_183,0.0006821355368393789
feature_596,0.0007172534327120284
feature_140,0.0008669398024833796
feature_311,0.0009993356870804826
feature_16,0.0010360883774170437
feature_166,0.0011765065459192537
feature_77,0.00124049547096039
feature_181,0.0014882434576993786
feature_289,0.0014950198673711502
feature_44,0.0015506323959047386
feature_420,0.0016257435977822254
feature_489,0.0016996460494054899
feature_508,0.0017798965373854614
feature_564,0.0019862312348102986
feature_540,0.002106956477709332
feature_582,0.0023367920091774464
feature_95,0.0024117795438846957
feature_9,0.002500070176664715
feature_403,0.00289416250542156
feature_516,0.003072144493841833
feature_330,0.003344007667894178
feature_252,0.004026303688730426
feature_469,0.004325138885489066
feature_149,0.004842599375121437
feature_357,0.0053612708017539475
feature_228,0.011429905183840327
feature_360,0.01707569452105462
feature_96,0.019802242567173646
feature_103,0.025221757445322533
