feature,shap_importance
feature_16,0.011995872143061217
feature_47,0.009795617490349748
feature_81,0.009794819522693891
feature_54,0.009008419307420927
feature_4,0.008647614401203962
feature_74,0.008054663902968322
feature_53,0.007803026075701667
feature_85,0.0066350766625087945
feature_55,0.006532923401267669
feature_25,0.005209225296460896
feature_69,0.005095104283538077
feature_7,0.0050561154403849905
feature_51,0.004534177713257575
feature_22,0.004285929287251845
feature_75,0.003953532626245898
feature_88,0.00394847949311594
feature_60,0.0037153121208644935
feature_76,0.0036404338710836876
feature_99,0.003447593705616094
feature_14,0.0031224395423456947
feature_50,0.0030178556222249897
feature_73,0.0028259827806574006
feature_96,0.0022129583484195954
feature_67,0.00219725348874068
feature_11,0.001989017753942533
feature_62,0.0018457112219527885
feature_94,0.001765414023950319
feature_79,0.0017322836894581495
feature_8,0.0013881974442429004
feature_43,0.0013585389884484109
feature_64,0.0012666245847937744
feature_84,0.0012530045925699233
feature_48,0.0007449247215691837
feature_2,0.0006912211631184582
feature_5,0.0005645869289100672
feature_98,0.00047638171266488783
feature_10,0.00043540287334733156
feature_86,0.0002108295458802721
feature_68,0.0
feature_65,0.0
feature_63,0.0
feature_66,0.0
feature_82,0.0
feature_70,0.0
feature_71,0.0
feature_72,0.0
feature_77,0.0
feature_78,0.0
feature_80,0.0
feature_83,0.0
feature_87,0.0
feature_89,0.0
feature_90,0.0
feature_91,0.0
feature_92,0.0
feature_93,0.0
feature_95,0.0
feature_97,0.0
feature_61,0.0
feature_1,0.0
feature_59,0.0
feature_58,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_26,0.0
feature_24,0.0
feature_23,0.0
feature_21,0.0
feature_20,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_15,0.0
feature_13,0.0
feature_12,0.0
feature_9,0.0
feature_6,0.0
feature_3,0.0
feature_30,0.0
feature_31,0.0
feature_32,0.0
feature_42,0.0
feature_57,0.0
feature_56,0.0
feature_52,0.0
feature_49,0.0
feature_46,0.0
feature_45,0.0
feature_44,0.0
feature_41,0.0
feature_33,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_34,0.0
feature_100,0.0
