feature,mean_importance
feature_96,-0.00011928144693376108
feature_36,-0.0001162795901298308
feature_48,-9.711028337480165e-05
feature_14,-8.468399047849573e-05
feature_13,-6.78873181343409e-05
feature_8,-5.8279132842997686e-05
feature_37,-4.213562011716743e-05
feature_98,-4.2128181457523616e-05
feature_82,-3.901435136797193e-05
feature_25,-3.521391153336051e-05
feature_62,-2.545045614243957e-05
feature_58,-2.306973934174117e-05
feature_89,-1.3075184822097796e-05
feature_63,-1.1566936969753528e-05
feature_30,-9.992361068711375e-06
feature_53,0.0
feature_64,0.0
feature_50,0.0
feature_55,0.0
feature_56,0.0
feature_57,0.0
feature_59,0.0
feature_60,0.0
feature_54,0.0
feature_1,0.0
feature_69,0.0
feature_67,0.0
feature_97,0.0
feature_94,0.0
feature_92,0.0
feature_91,0.0
feature_88,0.0
feature_85,0.0
feature_84,0.0
feature_81,0.0
feature_79,0.0
feature_77,0.0
feature_76,0.0
feature_75,0.0
feature_73,0.0
feature_71,0.0
feature_47,0.0
feature_65,0.0
feature_46,0.0
feature_49,0.0
feature_44,0.0
feature_10,0.0
feature_16,0.0
feature_17,0.0
feature_18,0.0
feature_20,0.0
feature_45,0.0
feature_22,0.0
feature_9,0.0
feature_15,0.0
feature_27,0.0
feature_28,0.0
feature_5,0.0
feature_29,0.0
feature_26,0.0
feature_32,0.0
feature_2,0.0
feature_35,0.0
feature_42,0.0
feature_38,0.0
feature_41,0.0
feature_40,0.0
feature_23,8.561611177793083e-08
feature_33,4.270553589202919e-07
feature_7,5.9796333313322235e-06
feature_83,6.4167499542300275e-06
feature_6,6.606674194320483e-06
feature_87,2.424101829530123e-05
feature_19,2.4283957481374684e-05
feature_52,3.09952020645099e-05
feature_34,3.9387595653561645e-05
feature_31,3.9941489696526665e-05
feature_74,4.557642936706685e-05
feature_78,4.840488433839329e-05
feature_39,5.024678707123975e-05
feature_51,6.104735136034379e-05
feature_70,6.271842718124088e-05
feature_72,7.81926393508936e-05
feature_61,7.90032386779993e-05
feature_43,7.916930913924869e-05
feature_93,8.424388170242824e-05
feature_66,8.778306245806888e-05
feature_99,8.936009407043422e-05
feature_68,9.944500923155796e-05
feature_3,0.00010431244373321213
feature_12,0.00010527210235593554
feature_21,0.00012127008438109766
feature_24,0.0001242043018340855
feature_95,0.00013357270956040334
feature_4,0.0001429812312126133
feature_11,0.00025045028924945977
feature_80,0.00043689351081848126
feature_86,0.0005479544043540896
