feature,shap_importance
feature_95,0.034695894
feature_97,0.033320922
feature_13,0.032685813
feature_11,0.029244913
feature_86,0.02836435
feature_51,0.02724388
feature_45,0.027043467
feature_2,0.026527077
feature_98,0.023092242
feature_70,0.022431165
feature_52,0.02198566
feature_89,0.021779293
feature_88,0.019055756
feature_30,0.018696245
feature_40,0.018137077
feature_19,0.01726871
feature_37,0.017091388
feature_3,0.016970633
feature_83,0.016362673
feature_34,0.015064183
feature_46,0.014967488
feature_85,0.014223836
feature_74,0.014086298
feature_35,0.014060737
feature_69,0.013328152
feature_4,0.013037419
feature_99,0.012990004
feature_73,0.012859885
feature_15,0.012660886
feature_66,0.0125045385
feature_84,0.012000271
feature_20,0.011709683
feature_80,0.011686572
feature_48,0.011683343
feature_68,0.011663868
feature_75,0.011630699
feature_76,0.011067042
feature_39,0.010782195
feature_33,0.010681732
feature_59,0.010350801
feature_28,0.010186417
feature_82,0.010112595
feature_93,0.010043486
feature_78,0.009957039
feature_6,0.00985373
feature_43,0.00977343
feature_87,0.009710836
feature_81,0.0096811
feature_21,0.0095613375
feature_91,0.009240902
feature_16,0.0086709205
feature_71,0.008583104
feature_54,0.008461004
feature_47,0.00833129
feature_26,0.008202399
feature_65,0.0081584165
feature_31,0.008032674
feature_32,0.007992676
feature_12,0.007757669
feature_29,0.007698029
feature_25,0.007204794
feature_56,0.007058063
feature_8,0.0069993706
feature_61,0.006906432
feature_96,0.006661811
feature_79,0.0063030035
feature_36,0.0062897922
feature_27,0.006245104
feature_1,0.0061100502
feature_63,0.006071977
feature_23,0.0059373397
feature_9,0.0058618374
feature_14,0.005729646
feature_67,0.0056667696
feature_72,0.0056047556
feature_50,0.005585192
feature_22,0.0054453923
feature_53,0.0052837115
feature_58,0.004924707
feature_5,0.004710912
feature_7,0.004682065
feature_62,0.0046812305
feature_49,0.00451979
feature_60,0.0041346694
feature_55,0.0035992835
feature_57,0.0032285117
feature_64,0.0025801028
feature_24,0.0023812435
feature_94,0.0019401384
feature_44,0.0016503669
feature_92,0.0016344299
feature_38,0.0015930308
feature_77,0.00028842167
feature_10,0.00010509575
feature_17,0.0
feature_18,0.0
feature_42,0.0
feature_41,0.0
