feature,mean_importance
feature_67,-0.001358433534796144
feature_79,-0.0012918658726388088
feature_13,-0.0007817745361491602
feature_25,-0.0007721523543449349
feature_54,-0.0007410145090562814
feature_68,-0.0006620547522154574
feature_8,-0.0006177299450848661
feature_60,-0.0006115426767990817
feature_1,-0.0005901414191064269
feature_11,-0.0005659116391274477
feature_99,-0.000565039241772336
feature_71,-0.0005567275402913908
feature_95,-0.000522146087904063
feature_20,-0.0005196103878059244
feature_50,-0.0005181907076656555
feature_57,-0.0004946263766683279
feature_21,-0.00046163603306665913
feature_73,-0.00045705945830651904
feature_23,-0.0004530639233697009
feature_75,-0.0004024630724369205
feature_84,-0.0003419477908036539
feature_65,-0.000332464413272171
feature_14,-0.0002716902254840781
feature_87,-0.00025685203488226007
feature_16,-0.000254432051858533
feature_33,-0.00024009222882004355
feature_31,-0.00021755437459074488
feature_63,-0.00021069882654454198
feature_49,-0.0001993333525268204
feature_19,-0.00019520572397802027
feature_44,-0.00011889696487772383
feature_24,-0.00011595982880083789
feature_80,-0.00011283069973833104
feature_38,-0.00010794971307257484
feature_76,-0.00010148998324424063
feature_64,-9.722704528924986e-05
feature_29,-9.272418719727949e-05
feature_28,-8.910471532077579e-05
feature_32,-4.754128626909271e-05
feature_77,-4.126566611122318e-05
feature_37,-3.5388162392990806e-05
feature_10,-3.451373802190183e-05
feature_52,-1.3320400872651739e-05
feature_41,0.0
feature_42,0.0
feature_18,0.0
feature_92,2.0772643321276262e-05
feature_3,2.8389468430312093e-05
feature_66,3.377308247207722e-05
feature_15,3.468613821313582e-05
feature_5,6.05332646795187e-05
feature_94,6.370817441698761e-05
feature_86,7.298874488894657e-05
feature_74,7.461061707987326e-05
feature_88,7.97475622166699e-05
feature_39,0.00010062820731031597
feature_70,0.00011768555668563163
feature_36,0.0001447492844108389
feature_58,0.00016042676745398055
feature_17,0.00016335750671581106
feature_47,0.0001778202772930282
feature_53,0.00018034488197213872
feature_82,0.00021415330546781242
feature_69,0.00022372655195881385
feature_89,0.0002257494256417969
feature_4,0.0002706113435602342
feature_22,0.0003042972182407011
feature_61,0.0003213658573689271
feature_34,0.00033811261843459396
feature_81,0.0003388217343892608
feature_59,0.00038384097008883347
feature_72,0.00040857125813975603
feature_27,0.00041546842225299586
feature_56,0.00042513200751443937
feature_12,0.00043622146096831125
feature_93,0.00046828538360006445
feature_48,0.000493873857702809
feature_46,0.0004947737561746158
feature_85,0.0005095220032665271
feature_30,0.000513407756918216
feature_98,0.0005161116135258936
feature_96,0.0005752420562083582
feature_9,0.0006236839955990669
feature_78,0.0006723454225631808
feature_26,0.0007214020118912146
feature_40,0.0007292804422521781
feature_35,0.0007730030616167394
feature_55,0.0007915111040209366
feature_83,0.0009944994822283614
feature_91,0.0010476246776672583
feature_43,0.001101419505262391
feature_97,0.0011143480686242712
feature_45,0.001128617381174557
feature_62,0.0012063698750125029
feature_2,0.0012353371590091867
feature_7,0.0012476056302312744
feature_6,0.0013141108710923223
feature_51,0.0022322572241089576
