feature,mean_importance
feature_88,-0.0027093522964233728
feature_61,-0.0018627002016285532
feature_45,-0.001560411534634243
feature_95,-0.0014678758633440258
feature_54,-0.0007953019855833521
feature_9,-0.000623887621425201
feature_73,-0.000580225466590445
feature_39,-0.000511200815748647
feature_77,-0.0004913615864796883
feature_34,-0.0004303987227382899
feature_86,-0.00038350631666510536
feature_35,-0.00037467727917550597
feature_75,-0.0003645002234595074
feature_62,-0.00026125973819133284
feature_33,-0.0002575761025598533
feature_31,-0.00012839065106124982
feature_25,-5.375644050060746e-05
feature_22,-5.357080077115217e-05
feature_66,-2.3111891123073213e-05
feature_64,0.0
feature_63,0.0
feature_60,0.0
feature_59,0.0
feature_57,0.0
feature_56,0.0
feature_55,0.0
feature_65,0.0
feature_67,0.0
feature_1,0.0
feature_69,0.0
feature_97,0.0
feature_96,0.0
feature_94,0.0
feature_93,0.0
feature_92,0.0
feature_91,0.0
feature_87,0.0
feature_85,0.0
feature_84,0.0
feature_82,0.0
feature_81,0.0
feature_80,0.0
feature_78,0.0
feature_76,0.0
feature_74,0.0
feature_72,0.0
feature_71,0.0
feature_68,0.0
feature_53,0.0
feature_49,0.0
feature_23,0.0
feature_12,0.0
feature_16,0.0
feature_17,0.0
feature_18,0.0
feature_19,0.0
feature_20,0.0
feature_50,0.0
feature_10,0.0
feature_26,0.0
feature_27,0.0
feature_8,0.0
feature_28,0.0
feature_14,0.0
feature_30,0.0
feature_29,0.0
feature_36,0.0
feature_48,0.0
feature_47,0.0
feature_5,0.0
feature_32,0.0
feature_6,0.0
feature_44,0.0
feature_42,0.0
feature_41,0.0
feature_40,0.0
feature_38,0.0
feature_37,0.0
feature_7,0.0
feature_13,0.0
feature_98,3.7842193513659696e-06
feature_79,4.028493586405446e-06
feature_4,5.5327652148684515e-05
feature_15,6.952598400500332e-05
feature_21,7.738934607997017e-05
feature_99,0.00012578507890048662
feature_70,0.0001355281165298372
feature_89,0.0002498426702848944
feature_3,0.000309072032140878
feature_24,0.000346824202567797
feature_46,0.0003675792402987765
feature_83,0.0004099009897751582
feature_43,0.0004329365555746145
feature_58,0.00046964520857997185
feature_2,0.0005731126457155123
feature_51,0.0007790429117088937
feature_52,0.0009085992541395527
feature_11,0.0009439632195682446
