feature,shap_importance
feature_88,0.006997251659780742
feature_2,0.0064551514888053635
feature_45,0.005478524333621152
feature_89,0.0052464453586780245
feature_35,0.004977348502310049
feature_11,0.00428013424897131
feature_52,0.004053209164642056
feature_51,0.0040265256975674625
feature_4,0.0036564189325767054
feature_46,0.0035731672464536786
feature_99,0.0032734030290731135
feature_75,0.0026130177786290554
feature_54,0.00260332863336911
feature_43,0.0025568367378079513
feature_95,0.0024084304676913293
feature_3,0.0023649964001001647
feature_62,0.002339888651776802
feature_73,0.002282571716759305
feature_83,0.0020427836278806982
feature_33,0.0019552624613847413
feature_98,0.0019453650589344403
feature_21,0.001916950521193327
feature_58,0.0018105894138546884
feature_86,0.0017976995885582536
feature_31,0.0016796312939137323
feature_9,0.0016259859076335195
feature_34,0.0015565777459674106
feature_61,0.0014419230975177247
feature_15,0.0012319460639922885
feature_66,0.0011584352245373446
feature_24,0.0011210250535447146
feature_22,0.0011118568153102683
feature_39,0.000961359981744717
feature_77,0.0007370436325438821
feature_70,0.0006877540987766051
feature_79,0.0005994399979959046
feature_25,0.0005113159720284209
feature_18,0.00010515098167253758
feature_92,9.507048134960064e-05
feature_65,0.0
feature_93,0.0
feature_67,0.0
feature_97,0.0
feature_96,0.0
feature_68,0.0
feature_64,0.0
feature_63,0.0
feature_94,0.0
feature_84,0.0
feature_69,0.0
feature_71,0.0
feature_91,0.0
feature_74,0.0
feature_87,0.0
feature_76,0.0
feature_78,0.0
feature_85,0.0
feature_80,0.0
feature_81,0.0
feature_82,0.0
feature_72,0.0
feature_1,0.0
feature_60,0.0
feature_59,0.0
feature_27,0.0
feature_26,0.0
feature_23,0.0
feature_20,0.0
feature_19,0.0
feature_17,0.0
feature_16,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_8,0.0
feature_7,0.0
feature_6,0.0
feature_5,0.0
feature_28,0.0
feature_29,0.0
feature_30,0.0
feature_47,0.0
feature_57,0.0
feature_56,0.0
feature_55,0.0
feature_53,0.0
feature_49,0.0
feature_48,0.0
feature_44,0.0
feature_32,0.0
feature_42,0.0
feature_41,0.0
feature_40,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_50,0.0
